Title,Author,My Rating,Average Rating,Publisher,Binding,Number of Pages,Original Publication Year,Date Read,Format,Main Title,Subtitle,Series
The Hobbit,J.R.R. Tolkien,5.0,4.27,HarperCollins,Paperback,389.0,1937,,Physical,The Hobbit,,Middle Earth
The Better Angels of Our Nature: Why Violence Has Declined,Steven Pinker,5.0,4.15,Penguin,Kindle Edition,832.0,2010,,Digital,The Better Angels of Our Nature, Why Violence Has Declined,
21 Lessons for the 21st Century,Yuval Noah Harari,5.0,4.17,Jonathan Cape,Paperback,352.0,2018,2019-06-19,Physical,21 Lessons for the 21st Century,,
"The Art of the Start 2.0: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",Guy Kawasaki,4.0,3.87,Penguin,Paperback,326.0,2004,2015-06-01,Physical,The Art of the Start 2.0," The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything",
The Silk Roads: A New History of the World,Peter Frankopan,5.0,4.22,Vintage,Paperback,672.0,2015,2020-06-20,Physical,The Silk Roads, A New History of the World,
Outliers: The Story of Success,Malcolm Gladwell,4.0,4.16,Back Bay Books,Paperback,320.0,2008,,Physical,Outliers, The Story of Success,
Start with Why: How Great Leaders Inspire Everyone to Take Action,Simon Sinek,3.0,4.08,Penguin,Paperback,246.0,2009,2018-12-10,Physical,Start with Why, How Great Leaders Inspire Everyone to Take Action,
"Lean In: Women, Work, and the Will to Lead",Sheryl Sandberg,4.0,3.95,WH Allen,Paperback,230.0,2013,2015-10-01,Physical,Lean In," Women, Work, and the Will to Lead",
A Man Called Ove,Fredrik Backman,4.0,4.36,Washington Square Press,Paperback,339.0,2012,2020-07-09,Physical,A Man Called Ove,,
The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,2.0,4.12,Simon & Schuster,Audible Audio,,1989,2019-06-21,Audiobook,The 7 Habits of Highly Effective People, Powerful Lessons in Personal Change,
Made to Stick: Why Some Ideas Take Hold and Others Come Unstuck,Dan Heath,4.0,3.96,Arrow,Paperback,323.0,2006,2013-01-01,Physical,Made to Stick, Why Some Ideas Take Hold and Others Come Unstuck,
"Tools of Titans: The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",Timothy Ferriss,3.0,4.1,Vermilion,Paperback,604.0,2016,2018-07-25,Physical,Tools of Titans," The Tactics, Routines, and Habits of Billionaires, Icons, and World-Class Performers",
Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,4.0,4.48,Scribner,Paperback,400.0,2016,,Physical,Shoe Dog, A Memoir by the Creator of Nike,
"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,5.0,4.45,HarperCollins,Paperback,864.0,1996,,Physical,A Game of Thrones,,A Song of Ice and Fire
Legacy,James Kerr,3.0,4.22,Constable & Robinson,Paperback,224.0,2013,2017-04-17,Physical,Legacy,,
How Google Works,Eric Schmidt,4.0,4.06,Grand Central Publishing,Paperback,320.0,2014,2017-03-01,Physical,How Google Works,,
James and the Giant Peach,Roald Dahl,,4.02,Puffin,Paperback,160.0,1961,,Physical,James and the Giant Peach,,
The Lonesome West,Martin McDonagh,4.0,4.0,Bloomsbury,Paperback,96.0,1997,,Physical,The Lonesome West,,
